Model,Threshold_Mean,Threshold_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F2_Mean,F2_Std,AP_Mean,AP_Std,ROC_AUC_Mean,ROC_AUC_Std,FN_Mean,FN_Std,FP_Mean,FP_Std
Base XGBoost,0.0030851453,0.0021931697,0.10287707053974818,0.01991343038629512,0.5936274509803922,0.18210789026242458,0.29540208072578905,0.05364160933333985,0.17701367772260895,0.06490550927689308,0.6652809200603318,0.06475230765737203,6.733333333333333,3.0110906108363236,88.0,29.14985910282047
Tuned XGBoost,0.07046844,0.020836703,0.11002268036010913,0.019461050781797325,0.6352941176470588,0.15459422992738545,0.3175165563921627,0.042294859128724355,0.18848662912969,0.06163607522734775,0.693086978381096,0.05797267235786748,6.066666666666666,2.6040261866871424,88.93333333333334,32.22569220505959
