k,Accuracy,Precision,Recall,F1,F2,PR-AUC,ROC-AUC
25,0.9345593625498008,0.2,0.011764705882352941,0.02222222222222222,0.014492753623188406,0.1445339540570892,0.605448717948718
50,0.9297689243027888,0.1,0.011764705882352941,0.021052631578947368,0.014285714285714285,0.13015495290062434,0.6159879336349925
100,0.916207171314741,0.16493506493506493,0.07205882352941176,0.0976190476190476,0.08031645569620252,0.15212675486888944,0.6462512569130217
200,0.8938358565737051,0.15922574157868274,0.13161764705882353,0.14135746606334845,0.13489054651178037,0.1475050192375525,0.6527997737556562
all,0.8762900398406375,0.1617826617826618,0.21691176470588233,0.18245310245310242,0.20073597268364712,0.1641788290116563,0.6222505027652085
