Threshold,Precision,Recall,F2
0.0034883705,0.06624102154828412,1.0,0.26182965299663846
0.0042692195,0.06629392971246006,1.0,0.2619949494947424
0.0054783886,0.06634692246203037,1.0,0.26216045483238914
0.00680789,0.0664,1.0,0.26232616940560816
0.007066612,0.06645316253002402,1.0,0.26249209361143083
0.007102976,0.06650641025641026,1.0,0.2626582278478938
0.007104742,0.06655974338412189,1.0,0.26282457251404195
0.0073563484,0.0666131621187801,1.0,0.26299112800993174
0.0073938044,0.06666666666666667,1.0,0.2631578947366343
0.007457491,0.06672025723472669,1.0,0.2633248730962388
0.007466419,0.0667739340305712,1.0,0.26349206349185555
0.007482305,0.06682769726247988,1.0,0.26365946632761916
0.0074888803,0.06688154713940371,1.0,0.26382708200869204
0.0075145415,0.06693548387096775,1.0,0.2639949109412676
0.007612884,0.06698950766747377,1.0,0.26416295353257335
0.008088166,0.06704361873990307,1.0,0.26433121019087435
0.0081184935,0.06709781729991916,1.0,0.26449968132547663
0.008127068,0.06715210355987054,1.0,0.2646683673467301
0.008475023,0.06720647773279352,1.0,0.26483726866603247
0.008982932,0.06726094003241491,1.0,0.265006385695832
0.009066726,0.06731549067315491,1.0,0.2651757188496313
0.009208888,0.06737012987012987,1.0,0.2653452685419905
0.009387605,0.06742485783915515,1.0,0.2655150351885305
0.0094215395,0.06747967479674796,1.0,0.26568501920593673
0.0095768785,0.06753458096013018,1.0,0.26585522101196235
0.009638717,0.06758957654723127,1.0,0.2660256410254316
0.009692783,0.06764466177669112,1.0,0.2661962796662433
0.009886645,0.06769983686786298,1.0,0.2663671373553745
0.00995654,0.06775510204081632,1.0,0.2665382145148834
0.009959816,0.06781045751633986,1.0,0.26670951156791356
0.010043238,0.0678659035159444,1.0,0.26688102893869686
0.010052064,0.06792144026186579,1.0,0.26705276705255704
0.010139098,0.06797706797706797,1.0,0.2672247263359135
0.010451565,0.0680327868852459,1.0,0.2673969072162846
0.010524468,0.06808859721082855,1.0,0.2675693101222913
0.010614205,0.06814449917898194,1.0,0.26774193548366054
0.010643644,0.06820049301561217,1.0,0.2679147837312291
0.010690344,0.06825657894736842,1.0,0.268087855296947
0.010921657,0.06831275720164609,1.0,0.26826115061388106
0.010953175,0.06836902800658978,1.0,0.2684346701162187
