Model,Accuracy,Precision,Recall,F1,F2,PR-AUC,ROC-AUC
Dummy Classifier,0.9331210191082803,0.0,0.0,0.0,0.0,0.06687898089171974,0.5
Logistic Regression,0.8757961783439491,0.125,0.14285714285714285,0.13333333333333333,0.1388888888888889,0.11901671550061091,0.6205103201690233
