Model,Accuracy,Precision,Recall,F1,F2,PR-AUC,ROC-AUC,False Negatives,True Positives,False Positives
Base XGBoost,0.9299363057324841,0.0,0.0,0.0,0.0,0.18812460540654474,0.7443523484479115,21,0,1
XGBoost + scale_pos_weight,0.9299363057324841,0.0,0.0,0.0,0.0,0.15622865434787175,0.7064846416382252,21,0,1
