Threshold,Precision,Recall,F1,F2,False Negatives,True Positives,False Positives,True Negatives
2.3995826e-05,0.06624102154828412,1.0,0.12425149700598802,0.2618296529968454,0,83,1170,0
2.555876e-05,0.06629392971246006,1.0,0.12434456928838951,0.2619949494949495,0,83,1169,1
2.9672177e-05,0.06634692246203037,1.0,0.12443778110944528,0.2621604548325963,0,83,1168,2
3.295067e-05,0.0664,1.0,0.1245311327831958,0.26232616940581543,0,83,1167,3
3.3914577e-05,0.06645316253002402,1.0,0.12462462462462462,0.2624920936116382,0,83,1166,4
3.4740373e-05,0.06650641025641026,1.0,0.1247182569496619,0.2626582278481013,0,83,1165,5
3.5643297e-05,0.06655974338412189,1.0,0.12481203007518797,0.2628245725142495,0,83,1164,6
3.9663737e-05,0.06581059390048154,0.9879518072289156,0.12340105342362678,0.2598225602027883,1,82,1164,6
4.20722e-05,0.06586345381526104,0.9879518072289156,0.12349397590361445,0.25998731769181993,1,82,1163,7
4.280911e-05,0.06591639871382636,0.9879518072289156,0.12358703843255464,0.26015228426395937,1,82,1162,8
4.5179593e-05,0.06596942880128721,0.9879518072289156,0.12368024132730016,0.26031746031746034,1,82,1161,9
4.7082234e-05,0.06602254428341385,0.9879518072289156,0.12377358490566037,0.2604828462515883,1,82,1160,10
4.844353e-05,0.06607574536663981,0.9879518072289156,0.12386706948640483,0.2606484424666243,1,82,1159,11
4.9554124e-05,0.06612903225806452,0.9879518072289156,0.12396069538926682,0.2608142493638677,1,82,1158,12
5.120284e-05,0.06618240516545601,0.9879518072289156,0.12405446293494705,0.2609802673456397,1,82,1157,13
5.6461362e-05,0.06623586429725363,0.9879518072289156,0.12414837244511734,0.2611464968152866,1,82,1156,14
5.788788e-05,0.06628940986257073,0.9879518072289156,0.12424242424242424,0.26131293817718293,1,82,1155,15
6.0831437e-05,0.06634304207119741,0.9879518072289156,0.1243366186504928,0.2614795918367347,1,82,1154,16
6.2572035e-05,0.06639676113360324,0.9879518072289156,0.1244309559939302,0.2616464582003829,1,82,1153,17
6.2576626e-05,0.06645056726094004,0.9879518072289156,0.12452543659832954,0.26181353767560667,1,82,1152,18
6.46203e-05,0.0665044606650446,0.9879518072289156,0.12462006079027356,0.26198083067092653,1,82,1151,19
6.471545e-05,0.06655844155844155,0.9879518072289156,0.1247148288973384,0.26214833759590794,1,82,1150,20
6.622288e-05,0.06661251015434606,0.9879518072289156,0.1248097412480974,0.26231605886116444,1,82,1149,21
6.8117595e-05,0.06666666666666667,0.9879518072289156,0.12490479817212491,0.26248399487836105,1,82,1148,22
6.8298614e-05,0.06672091131000814,0.9879518072289156,0.125,0.2626521460602178,1,82,1147,23
6.844016e-05,0.06677524429967427,0.9879518072289156,0.12509534706331046,0.26282051282051283,1,82,1146,24
6.864828e-05,0.06682966585167074,0.9879518072289156,0.1251908396946565,0.26298909557408595,1,82,1145,25
6.986058e-05,0.06688417618270799,0.9879518072289156,0.1252864782276547,0.2631578947368421,1,82,1144,26
7.043821e-05,0.06693877551020408,0.9879518072289156,0.12538226299694188,0.26332691072575465,1,82,1143,27
7.164548e-05,0.06699346405228758,0.9879518072289156,0.12547819433817903,0.2634961439588689,1,82,1142,28
7.318655e-05,0.06704824202780049,0.9879518072289156,0.12557427258805512,0.26366559485530544,1,82,1141,29
7.639507e-05,0.06710310965630115,0.9879518072289156,0.12567049808429118,0.26383526383526384,1,82,1140,30
8.106297e-05,0.06715806715806716,0.9879518072289156,0.12576687116564417,0.2640051513200258,1,82,1139,31
8.232623e-05,0.06721311475409836,0.9879518072289156,0.12586339217191098,0.26417525773195877,1,82,1138,32
8.255886e-05,0.06726825266611977,0.9879518072289156,0.1259600614439324,0.26434558349451964,1,82,1137,33
8.266686e-05,0.06732348111658457,0.9879518072289156,0.12605687932359724,0.2645161290322581,1,82,1136,34
8.702078e-05,0.06737880032867707,0.9879518072289156,0.12615384615384614,0.26468689477081986,1,82,1135,35
8.819571e-05,0.06743421052631579,0.9879518072289156,0.1262509622786759,0.2648578811369509,1,82,1134,36
8.896004e-05,0.06748971193415639,0.9879518072289156,0.1263482280431433,0.2650290885585003,1,82,1133,37
8.9503344e-05,0.06754530477759473,0.9879518072289156,0.1264456437933693,0.2652005174644243,1,82,1132,38
8.9993824e-05,0.06760098928276999,0.9879518072289156,0.12654320987654322,0.26537216828478966,1,82,1131,39
9.029916e-05,0.06765676567656766,0.9879518072289156,0.12664092664092663,0.2655440414507772,1,82,1130,40
9.060795e-05,0.06771263418662263,0.9879518072289156,0.1267387944358578,0.2657161373946857,1,82,1129,41
9.144053e-05,0.06776859504132231,0.9879518072289156,0.1268368136117556,0.26588845654993515,1,82,1128,42
9.1669266e-05,0.06782464846980976,0.9879518072289156,0.12693498452012383,0.26606099935107075,1,82,1127,43
9.342383e-05,0.06788079470198675,0.9879518072289156,0.12703330751355538,0.2662337662337662,1,82,1126,44
9.4895084e-05,0.06793703396851698,0.9879518072289156,0.12713178294573643,0.2664067576348278,1,82,1125,45
9.598308e-05,0.06799336650082918,0.9879518072289156,0.12723041117145073,0.2665799739921977,1,82,1124,46
9.616943e-05,0.06804979253112033,0.9879518072289156,0.12732919254658384,0.2667534157449577,1,82,1123,47
9.8097255e-05,0.0681063122923588,0.9879518072289156,0.12742812742812742,0.2669270833333333,1,82,1122,48
9.822044e-05,0.06816292601828762,0.9879518072289156,0.12752721617418353,0.2671009771986971,1,82,1121,49
9.997807e-05,0.06821963394342762,0.9879518072289156,0.12762645914396886,0.26727509778357234,1,82,1120,50
0.00010030207,0.06827643630308076,0.9879518072289156,0.1277258566978193,0.2674494455316373,1,82,1119,51
0.00010039738,0.06833333333333333,0.9879518072289156,0.12782540919719407,0.26762402088772846,1,82,1118,52
0.000100588746,0.06839032527105922,0.9879518072289156,0.12792511700468018,0.2677988242978446,1,82,1117,53
0.000100749545,0.06844741235392321,0.9879518072289156,0.12802498048399688,0.2679738562091503,1,82,1116,54
0.000101705555,0.06850459482038429,0.9879518072289156,0.128125,0.2681491170699804,1,82,1115,55
0.000103286235,0.06856187290969899,0.9879518072289156,0.12822517591868648,0.2683246073298429,1,82,1114,56
0.000103562576,0.06861924686192468,0.9879518072289156,0.12832550860719874,0.2685003274394237,1,82,1113,57
0.00010510063,0.0678391959798995,0.9759036144578314,0.12685982772122162,0.2653997378768021,2,81,1113,57
0.000105205116,0.06789606035205364,0.9759036144578314,0.12695924764890282,0.26557377049180325,2,81,1112,58
0.00010647871,0.06795302013422819,0.9759036144578314,0.12705882352941175,0.265748031496063,2,81,1111,59
0.000106929256,0.06717044500419815,0.963855421686747,0.12558869701726844,0.262639527248851,3,80,1111,59
0.00010952592,0.06722689075630252,0.963855421686747,0.12568735271013354,0.2628120893561104,3,80,1110,60
0.00010983561,0.0672834314550042,0.963855421686747,0.12578616352201258,0.26298487836949375,3,80,1109,61
0.00011147085,0.06734006734006734,0.963855421686747,0.12588512981904013,0.2631578947368421,3,80,1108,62
0.00011386879,0.06739679865206402,0.963855421686747,0.12598425196850394,0.2633311389071758,3,80,1107,63
0.00011584166,0.06745362563237774,0.963855421686747,0.12608353033884948,0.2635046113306983,3,80,1106,64
0.000116962605,0.06751054852320675,0.963855421686747,0.12618296529968454,0.26367831245880025,3,80,1105,65
0.00011758953,0.06756756756756757,0.963855421686747,0.12628255722178375,0.2638522427440633,3,80,1104,66
0.000119191674,0.0676246830092984,0.963855421686747,0.1263823064770932,0.264026402640264,3,80,1103,67
0.0001194019,0.0676818950930626,0.963855421686747,0.12648221343873517,0.26420079260237783,3,80,1102,68
0.00012207328,0.06773920406435224,0.963855421686747,0.12658227848101267,0.26437541308658297,3,80,1101,69
0.00012225057,0.06779661016949153,0.963855421686747,0.12668250197941408,0.26455026455026454,3,80,1100,70
0.00012250835,0.06785411365564037,0.963855421686747,0.12678288431061807,0.26472534745201853,3,80,1099,71
0.00012301722,0.06791171477079797,0.963855421686747,0.126883425852498,0.26490066225165565,3,80,1098,72
0.00012343918,0.06796941376380629,0.963855421686747,0.12698412698412698,0.26507620941020543,3,80,1097,73
0.00012542993,0.06802721088435375,0.963855421686747,0.12708498808578236,0.26525198938992045,3,80,1096,74
0.00012665574,0.06808510638297872,0.963855421686747,0.1271860095389507,0.26542800265428,3,80,1095,75
0.00012715576,0.06814310051107325,0.963855421686747,0.12728719172633254,0.2656042496679947,3,80,1094,76
0.00012922357,0.06820119352088662,0.963855421686747,0.12738853503184713,0.26578073089701,3,80,1093,77
0.00012927668,0.06825938566552901,0.963855421686747,0.12749003984063745,0.26595744680851063,3,80,1092,78
0.0001300033,0.06831767719897523,0.963855421686747,0.12759170653907495,0.2661343978709248,3,80,1091,79
0.00013005204,0.06837606837606838,0.963855421686747,0.12769353551476456,0.2663115845539281,3,80,1090,80
0.0001302213,0.06843455945252352,0.963855421686747,0.12779552715654952,0.2664890073284477,3,80,1089,81
0.0001311014,0.0684931506849315,0.963855421686747,0.1278976818545164,0.26666666666666666,3,80,1088,82
0.00013218081,0.06855184233076264,0.963855421686747,0.128,0.266844563042028,3,80,1087,83
0.00013752148,0.0686106346483705,0.963855421686747,0.12810248198558846,0.26702269692923897,3,80,1086,84
0.0001375965,0.06866952789699571,0.963855421686747,0.1282051282051282,0.26720106880427524,3,80,1085,85
0.00013774839,0.06872852233676977,0.963855421686747,0.12830793905372895,0.26737967914438504,3,80,1084,86
0.0001410608,0.06792777300085985,0.9518072289156626,0.12680577849117175,0.26421404682274247,4,79,1084,86
0.00014155908,0.06798623063683305,0.9518072289156626,0.12690763052208837,0.2643908969210174,4,79,1083,87
0.00014159526,0.06804478897502153,0.9518072289156626,0.1270096463022508,0.26456798392498326,4,79,1082,88
0.00014206211,0.06810344827586207,0.9518072289156626,0.12711182622687048,0.26474530831099197,4,79,1081,89
0.00014500639,0.06816220880069025,0.9518072289156626,0.12721417069243157,0.26492287055667335,4,79,1080,90
0.00014652361,0.06822107081174439,0.9518072289156626,0.12731668009669622,0.2651006711409396,4,79,1079,91
0.00014972287,0.0682800345721694,0.9518072289156626,0.12741935483870967,0.26527871054398927,4,79,1078,92
0.00015049004,0.06833910034602077,0.9518072289156626,0.1275221953188055,0.2654569892473118,4,79,1077,93
