Threshold,Model,Accuracy,Precision,Recall,F1,F2,PR-AUC,ROC-AUC,False Negatives,True Positives,False Positives
0.5,Base XGBoost (Default Threshold),0.929936305732484,0.0,0.0,0.0,0.0,0.1881246054065447,0.7443523484479115,21,0,1
0.008612054400146,Base XGBoost (Optimized Threshold),0.821656050955414,0.1818181818181818,0.4761904761904761,0.2631578947368421,0.3597122302158273,0.1881246054065447,0.7443523484479115,11,10,45
0.07421384006738663,Tuned XGBoost (Optimized Threshold),0.6401273885350318,0.11016949152542373,0.6190476190476191,0.18705035971223022,0.3217821782178218,0.18910975697408805,0.6814562002275314,8,13,105
