Model,Accuracy,Precision,Recall,F1,F2,PR-AUC,ROC-AUC,False Negatives,True Positives
Dummy Classifier,0.9331210191082804,0.0,0.0,0.0,0.0,0.0668789808917197,0.5,,
Logistic Regression,0.8757961783439491,0.125,0.1428571428571428,0.1333333333333333,0.1388888888888889,0.1190167155006109,0.6205103201690233,,
Logistic Regression + SMOTE,0.8280254777070064,0.07692307692307693,0.14285714285714285,0.1,0.12195121951219512,0.11871617090724627,0.6166097838452786,18.0,3.0
